EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
1,41,1,Travel_Rarely,1102,Sales,1,College,Life Sciences,Female,94,2,Sales Executive,Very High,Single,5993,19479,8,Yes,Yes,11,Excellent,Low,8,0,1,6,4,0
2,49,0,Travel_Frequently,279,Research & Development,8,Below College,Life Sciences,Male,61,2,Research Scientist,Medium,Married,5130,24907,1,Yes,No,23,Outstanding,Very High,10,3,3,10,7,1
4,37,1,Travel_Rarely,1373,Research & Development,2,College,Other,Male,92,1,Laboratory Technician,High,Single,2090,2396,6,Yes,Yes,15,Excellent,Medium,7,3,3,0,0,0
5,33,0,Travel_Frequently,1392,Research & Development,3,Master,Life Sciences,Female,56,1,Research Scientist,High,Married,2909,23159,1,Yes,Yes,11,Excellent,High,8,3,3,8,7,3
7,27,0,Travel_Rarely,591,Research & Development,2,Below College,Medical,Male,40,1,Laboratory Technician,Medium,Married,3468,16632,9,Yes,No,12,Excellent,Very High,6,3,3,2,2,2
8,32,0,Travel_Frequently,1005,Research & Development,2,College,Life Sciences,Male,79,1,Laboratory Technician,Very High,Single,3068,11864,0,Yes,No,13,Excellent,High,8,2,2,7,7,3
10,59,0,Travel_Rarely,1324,Research & Development,3,Bachelor,Medical,Female,81,1,Laboratory Technician,Low,Married,2670,9964,4,Yes,Yes,20,Outstanding,Low,12,3,2,1,0,0
11,30,0,Travel_Rarely,1358,Research & Development,24,Below College,Life Sciences,Male,67,1,Laboratory Technician,High,Divorced,2693,13335,1,Yes,No,22,Outstanding,Medium,1,2,3,1,0,0
12,38,0,Travel_Frequently,216,Research & Development,23,Bachelor,Life Sciences,Male,44,3,Manufacturing Director,High,Single,9526,8787,0,Yes,No,21,Outstanding,Medium,10,2,3,9,7,1
13,36,0,Travel_Rarely,1299,Research & Development,27,Bachelor,Medical,Male,94,2,Healthcare Representative,High,Married,5237,16577,6,Yes,No,13,Excellent,Medium,17,3,2,7,7,7
